,階層 Layer,平台 Platform,系統 System,模組 Module,組件 Actor,元件 Function / API,輸入 Input,處理 Process,輸出 Output,,,,,,,,,,,,,,,,
刪除 Text,,,,conversation_mgt,TextManager,delete_text,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""text_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/TextManager 取得 text metadata (get_text_metadata)
3. 透過 text_path 取得 texts/{conversation_uid}/{text_uid}.json 和 image_uid(s)
4. conversation_mgt 呼叫 conversation_mgt/ImageManager 刪除 image metadata (delete_image)
4. 透過 text_path 刪除 texts/{conversation_uid}/{text_uid}.json","{
""status_code"": <int>,
""message"": ""Text deleted""
}",,,,,,,,,,,,,,,,
回饋 Text,,,,conversation_mgt,TextManager,reward_text,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""text_uid"": <uuid>,
""reward"": <string>
}","1. 檢查 payload（必填欄位）
2. 透過 text_path 修改 texts/{conversation_uid}/{text_uid}.json","{
""status_code"": <int>,
""message"": ""Text reward success""
}",,,,,,,,,,,,,,,,
image manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 Image,,,,conversation_mgt,ImageManager,create_image,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""content"": <string>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ImageManager 創建 image metadata (create_image_metadata)
3. base64 解碼 content 成 {image_uid}.png 
4. 在 images/{conversation_uid}/ 新增 {image_uid}.png","{
""status_code"": <int>,
""message"": ""Image 建立成功"",
""data"": {
""image_uid"": <uuid>
}
}",,,,,,,,,,,,,,,,
取得 Image 列表,,,,conversation_mgt,ImageManager,get_image_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ImageManager 取得 image(s) metatada (get_image_metadata_list)
3. 透過 image_path(s) 取得 images/{conversation_uid}/{image_uid}.png(s)","{
""status_code"": <int>,
""message"": ""Image 查詢清單成功"",
""data"": [
{
""image_uid"": <uuid>,
""image_path"": <string>
},
{...}
]
}",,,,,,,,,,,,,,,,
刪除 Image,,,,conversation_mgt,ImageManager,delete_image,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""image_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ImagetManager 取得 image metadata (get_image_metadata)
3. 透過 image_path 取得 images/{conversation_uid}/{image_uid}.png
4. 透過 image_path 刪除 images/{conversation_uid}/{image_uid}.png
5. conversation_mgt 呼叫 metadata_mgt/ImagetManager 刪除 image metadata (delete_image_metadata)","{
""status_code"": <int>,
""message"": ""Image 刪除成功""
}",,,,,,,,,,,,,,,,
取得 Image,,,,conversation_mgt,ImageManager,get_image,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""image_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 建構圖片路徑
3. 檢查圖片路徑是否存在",二進制檔案,,,,,,,,,,,,,,,,
audio manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 Audio,,,,conversation_mgt,AudioManager,upload_audio,"headers = { ""Content-Type"": ""multipart/form-data"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/AudioManager 創建 audio metadata (create_audio_metadata)
3. 在 audios/{conversation_uid}/ 新增 {audio_uid}.webm","{
""status_code"": <int>,
""message"": ""Audio 建立成功"",
""data"": {
""image_uid"": <uuid>
}
}",,,,,,,,,,,,,,,,
取得 Audio 列表,,,,conversation_mgt,AudioManager,get_audio_list,"headers = { ""Content-Type"": ""multipart/form-data"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/AudioManager 取得 audio(s) metatada (get_audio_metadata_list)
3. 透過 audio_path(s) 取得 audios/{conversation_uid}/{audio_uid}.webm(s)","{
""status_code"": <int>,
""message"": ""Audio 查詢清單成功"",
""data"": [
{
""image_uid"": <uuid>,
""image_path"": <string>,
""created_at"": <string>
},
{...}
]
}",,,,,,,,,,,,,,,,
